contents_id	actor_account_name	user_events	n_prev	n_page_jump	n_memo	n_open_rec
f0f6ba4b5e0000340312d33c212c3ae8	1765	99	7	0	0	6
f0f6ba4b5e0000340312d33c212c3ae8	2945	94	6	0	0	14
f0f6ba4b5e0000340312d33c212c3ae8	2953	92	8	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2877	91	5	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	1707	89	9	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2813	87	6	0	0	9
f0f6ba4b5e0000340312d33c212c3ae8	2900	87	0	31	0	6
f0f6ba4b5e0000340312d33c212c3ae8	2946	85	0	16	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2800	85	10	0	0	7
f0f6ba4b5e0000340312d33c212c3ae8	2951	84	5	0	0	5
f0f6ba4b5e0000340312d33c212c3ae8	1768	83	6	6	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2860	83	8	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2826	77	10	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2855	77	3	0	5	2
f0f6ba4b5e0000340312d33c212c3ae8	2920	75	1	5	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2941	72	7	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2890	72	12	1	0	6
f0f6ba4b5e0000340312d33c212c3ae8	1739	71	4	0	0	2
f0f6ba4b5e0000340312d33c212c3ae8	1727	71	3	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1766	71	3	3	0	5
f0f6ba4b5e0000340312d33c212c3ae8	2922	70	6	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	1809	69	7	0	0	5
f0f6ba4b5e0000340312d33c212c3ae8	2950	68	3	0	0	5
f0f6ba4b5e0000340312d33c212c3ae8	2949	67	12	1	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2833	67	14	2	0	6
f0f6ba4b5e0000340312d33c212c3ae8	2807	67	8	0	0	7
